AI,AV,RESISTANCE,,AI,AV,,,,
-7.3314E-6,200.0000E-3,-27.2797E+3,-366.5725E-6,18.4734E-6,200.0000E-3,923.6684E-6,,,
-4.2503E-6,250.0000E-3,-58.8191E+3,-212.5160E-6,24.7227E-6,250.0000E-3,1.2361E-3,,,
544.0321E-9,300.0000E-3,551.4381E+3,27.2016E-6,36.1081E-6,300.0000E-3,1.8054E-3,,,
11.6156E-6,350.0000E-3,30.1319E+3,580.7796E-6,44.4505E-6,350.0000E-3,2.2225E-3,,,
25.2018E-6,400.0000E-3,15.8719E+3,1.2601E-3,43.3905E-6,400.0000E-3,2.1695E-3,,,
36.1234E-6,450.0000E-3,12.4573E+3,1.8062E-3,51.4002E-6,450.0000E-3,2.5700E-3,,,
47.9571E-6,500.0000E-3,10.4260E+3,2.3979E-3,60.6115E-6,500.0000E-3,3.0306E-3,,,
50.4474E-6,550.0000E-3,10.9024E+3,2.5224E-3,69.8719E-6,550.0000E-3,3.4936E-3,,,
71.2881E-6,600.0000E-3,8.4165E+3,3.5644E-3,81.7603E-6,600.0000E-3,4.0880E-3,,,
89.1861E-6,650.0000E-3,7.2881E+3,4.4593E-3,98.3040E-6,650.0000E-3,4.9152E-3,,,
108.6611E-6,700.0000E-3,6.4420E+3,5.4331E-3,116.0421E-6,700.0000E-3,5.8021E-3,,,
135.8866E-6,750.0000E-3,5.5193E+3,6.7943E-3,136.2844E-6,750.0000E-3,6.8142E-3,,,
166.3067E-6,800.0000E-3,4.8104E+3,8.3153E-3,158.9895E-6,800.0000E-3,7.9495E-3,,,
202.7575E-6,850.0000E-3,4.1922E+3,10.1379E-3,183.1028E-6,850.0000E-3,9.1551E-3,,,
242.8181E-6,900.0000E-3,3.7065E+3,12.1409E-3,211.3173E-6,900.0000E-3,10.5659E-3,,,
278.2764E-6,950.0000E-3,3.4139E+3,13.9138E-3,245.1474E-6,950.0000E-3,12.2574E-3,,,
327.0989E-6,1.0000E+0,3.0572E+3,16.3549E-3,283.4011E-6,1.0000E+0,14.1701E-3,,,
